Major_category,TotalMen,GrandTotal,TotalWomen,TotalUnemployed
Agriculture & Natural Resources,197875,79981,249812,3824
Arts,86781,357130,140469,28228
Biology & Life Science,427803,453862,578132,22854
Business,176917,1302376,110367,79877
Communications & Journalism,36692,392601,98278,26852
Computers & Mathematics,59623,299008,62599,18373
Education,257712,559129,612958,24969
Engineering,400644,537583,118051,29817
Health,94630,463230,312026,22213
Humanities & Liberal Arts,159945,713468,349636,51101
Industrial Arts & Consumer Services,35043,229792,36824,11526
Interdisciplinary,10031,12296,9848,749
Law & Public Policy,10484,179107,5478,13495
Physical Sciences,184879,185479,244996,7880
Psychology & Social Work,235847,481007,504662,33292
Social Science,503357,529966,463616,42975
